Season,Team,League,Games,Championship_Season,Stat,Value,Stat_Type
2014,SFN,NL,147,True,Triples_per_Game,0.013605442176870748,Regular Season Per-Game
2015,SFN,NL,150,False,Triples_per_Game,0.0,Regular Season Per-Game
2016,SFN,NL,146,False,Triples_per_Game,0.0136986301369863,Regular Season Per-Game
2017,SFN,NL,140,False,Triples_per_Game,0.0,Regular Season Per-Game
2018,SFN,NL,105,False,Triples_per_Game,0.009523809523809525,Regular Season Per-Game
2019,SFN,NL,114,False,Triples_per_Game,0.0,Regular Season Per-Game
2021,SFN,NL,113,False,Triples_per_Game,0.0,Regular Season Per-Game
2009,SFN,NL,7,False,League_Hits_per_Game,0.630435412381587,League Average Per-Game
2010,SFN,NL,108,True,League_Hits_per_Game,0.6174315520668592,League Average Per-Game
2011,SFN,NL,45,False,League_Hits_per_Game,0.6149805758849975,League Average Per-Game
2012,SFN,NL,148,True,League_Hits_per_Game,0.6050576101497432,League Average Per-Game
2013,SFN,NL,148,False,League_Hits_per_Game,0.6076832014783161,League Average Per-Game
2014,SFN,NL,147,True,League_Hits_per_Game,0.5979385889253062,League Average Per-Game
2015,SFN,NL,150,False,League_Hits_per_Game,0.596960331187796,League Average Per-Game
2016,SFN,NL,146,False,League_Hits_per_Game,0.6000766490184667,League Average Per-Game
2017,SFN,NL,140,False,League_Hits_per_Game,0.5967374863944136,League Average Per-Game
2018,SFN,NL,105,False,League_Hits_per_Game,0.5729571169157703,League Average Per-Game
2019,SFN,NL,114,False,League_Hits_per_Game,0.5864488588806428,League Average Per-Game
2021,SFN,NL,113,False,League_Hits_per_Game,0.55129082252412,League Average Per-Game
2009,SFN,NL,7,False,League_HR_per_Game,0.07303224311248878,League Average Per-Game
2010,SFN,NL,108,True,League_HR_per_Game,0.06693170441520001,League Average Per-Game
2011,SFN,NL,45,False,League_HR_per_Game,0.06623113969357913,League Average Per-Game
2012,SFN,NL,148,True,League_HR_per_Game,0.07097340295458796,League Average Per-Game
2013,SFN,NL,148,False,League_HR_per_Game,0.06728936882831899,League Average Per-Game
2014,SFN,NL,147,True,League_HR_per_Game,0.06017480305905353,League Average Per-Game
2015,SFN,NL,150,False,League_HR_per_Game,0.0695976408540562,League Average Per-Game
2016,SFN,NL,146,False,League_HR_per_Game,0.07962981362933103,League Average Per-Game
2017,SFN,NL,140,False,League_HR_per_Game,0.0862982909969891,League Average Per-Game
2018,SFN,NL,105,False,League_HR_per_Game,0.07801368906271824,League Average Per-Game
2019,SFN,NL,114,False,League_HR_per_Game,0.09452597511299593,League Average Per-Game
2021,SFN,NL,113,False,League_HR_per_Game,0.08299241842476368,League Average Per-Game
2009,SFN,NL,7,False,League_RBI_per_Game,0.3094527651438338,League Average Per-Game
2010,SFN,NL,108,True,League_RBI_per_Game,0.2943660132615603,League Average Per-Game
2011,SFN,NL,45,False,League_RBI_per_Game,0.2881461973839282,League Average Per-Game
2012,SFN,NL,148,True,League_RBI_per_Game,0.28766236568420145,League Average Per-Game
2013,SFN,NL,148,False,League_RBI_per_Game,0.27820927412369345,League Average Per-Game
2014,SFN,NL,147,True,League_RBI_per_Game,0.2694640906215859,League Average Per-Game
2015,SFN,NL,150,False,League_RBI_per_Game,0.27858904925284256,League Average Per-Game
2016,SFN,NL,146,False,League_RBI_per_Game,0.2944599792763765,League Average Per-Game
2017,SFN,NL,140,False,League_RBI_per_Game,0.30473686442474873,League Average Per-Game
2018,SFN,NL,105,False,League_RBI_per_Game,0.2878334962983657,League Average Per-Game
2019,SFN,NL,114,False,League_RBI_per_Game,0.31347302047876796,League Average Per-Game
2021,SFN,NL,113,False,League_RBI_per_Game,0.29311235531478197,League Average Per-Game
2009,SFN,NL,7,False,League_Runs_per_Game,0.32473420435122685,League Average Per-Game
2010,SFN,NL,108,True,League_Runs_per_Game,0.30916556637309384,League Average Per-Game
2011,SFN,NL,45,False,League_Runs_per_Game,0.3027542958576438,League Average Per-Game
2012,SFN,NL,148,True,League_Runs_per_Game,0.30232022900214334,League Average Per-Game
2013,SFN,NL,148,False,League_Runs_per_Game,0.2924149679505688,League Average Per-Game
2014,SFN,NL,147,True,League_Runs_per_Game,0.2840693462135587,League Average Per-Game
2015,SFN,NL,150,False,League_Runs_per_Game,0.2927240763319817,League Average Per-Game
